4.6851 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.6866 	INFO 	Loaded monitor calibration from ['2023_05_01 15:28']
4.9364 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013595C71A80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000013595C71A20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000135991B1DB0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 300.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9365 	EXP 	window1: backgroundImage = ''
4.9365 	EXP 	window1: backgroundFit = 'none'
4.9437 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9445 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9453 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9463 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9471 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9477 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9485 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9494 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9498 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9503 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9511 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.9518 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
